COMPONENT                             | VERSION       | LICENCE                    | URL
----------------------------------------------------------------------------------------------------------------------------------------------
Spring Boot Starter Actuator          | 2.1.4.RELEASE | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Starter Integration       | 2.1.4.RELEASE | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Integration MQTT Support       | 5.1.4.RELEASE | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Spring Boot Starter Web               | 2.1.4.RELEASE | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Project ':json Path'                  | 2.4.0         | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Microsoft Azure SDK For Event Hubs    | 2.3.2         | MIT license                | https://opensource.org/licenses/mit-license.php
Guava: Google Core Libraries For Java | 29.0-jre      | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
Mockito Core                          | 3.1.0         | MIT License                | https://github.com/mockito/mockito/blob/master/LICENSE
Mockito JUnit Jupiter                 | 3.1.0         | MIT License                | https://github.com/mockito/mockito/blob/master/LICENSE
JUnit Jupiter API                     | 5.4.2         | Eclipse Public License 2.0 | https://www.eclipse.org/legal/epl-v20.html
ArchUnit                              | 0.14.1        | Apache License 2.0         | https://www.apache.org/licenses/LICENSE-2.0
ArchUnit                              | 0.14.1        | BSD                        | https://asm.ow2.io/license.html
